id,ean,title,description,name,size,type,price,color,DO,blocked
1094,8413423380017,Ramón Bilbao,Verdejo .Intenso en nariz con aromas de frutas cítricas y tropicales. En boca es fresco con presencia de acidez equilibrada con un final untuoso.Puntuación 90 Peñín,Ramón Bilbao,750ml,Verdejo,3,blanco,DO RUEDA,true
1095,8436557311153,Emilio Moro Finca Resalso,Tempranillo. Maduro y con buena acidez.,Emilio Moro Finca Resalso,750ml,Tempranillo,3,tinto,DOC RIBERA DEL DUERO,true
1097,8436011560097,Altanza Edulis,"100 % Tempranillo
Es un vino afrutado y sabroso. Fácil de beber y equilibrado.",Altanza Edulis,750ml,Tempranillo,3,tinto,DOC RIOJA,true
1110,1231231231231,Monkey say monkey do,"100% Trepat de viñas muy viejas. Crianza en barrica durante 24 meses. Complejo, maduro y persistente.  Aspecto visual:
Limpio, brillante, color rubí intenso con ribete violáceo.

Nariz:
Muy mineral, con claras notas balsámicas a sotobosque mediterráneo, flor de azahar y piel de naranja. Aromas primarios a fresas de bosque, frambuesa y mora negra.

Boca:
Se acentúa el raspón con notas vegetales refrescantes, buena acidez y taninos maduros.

Un vino en evolución que se prevé un aumento de la complejidad en al menos entre siete y diez años.

Maridaje:
Todo tipo de carnes, guisos, jamón y quesos curados, también puede acompañar pescados grasos a las brasa y ensaladas complejas.",Monkey say monkey do,750ml,Trepat,42,tinto,Lloret de mar,true
1111,1231231231234,La Creu de Sant Pere,"85% Garnacha, Cariñena y Pedro Ximénez. Crianza en barrica durante 14 meses. Amable, maduro y vivo. ",La Creu de Sant Pere,750ml,Garnacha,46,tinto,Lloret de mar,true
1112,1231231231235,El Drac roig,"95% Garnacha y variedades blancas. Crianza en tinas de inox durante 6 meses con su lías. Frutal, fresco y sedoso",El Drac roig,750ml,Garnacha,29,tinto,Lloret de mar,true
1113,1111111111111,Sisquera,"Garnacha, Joven sin crianza. Afrutado, fresco y agradable.",Sisquera,750ml,Garnacha,13,rosado,DO TERRA ALTA,true
1114,8422763220860,Marco real,"100% Garnacha, Joven sin crianza. Delicado , redondo y fresco",Marco real,750ml,Garnacha,16,rosado,DO NAVARRA,true
1115,8429617065301,Fragància de Marta,"Xarel.lo, Sauvignon blanco, Pinot noir, Joven sin crianza, equilibrado , gustoso y largo. Ecólogico",Fragància de Marta,750ml,Xarel.lo,20.25,rosado,DO PENEDÈS,true
1116,8410062717143,Chivite las fincas,"Garnacha y tempranillo. Crianza en depósitos de acero inoxidable. Untuoso, persitente y delicado",Chivite las fincas,750ml,Garnacha,20.5,rosado,DO NAVARRA,true
1120,8437015144085,Sommos Gewurztraminer,"100% Gewurztraminer, 4 meses de crianza en barricas con sus lías.  Graso, elegante y largo",Sommos Gewurztraminer,750ml,Gewurztraminer,19.5,blanco,DO SOMONTANO,true
1121,8437006776189,"Pradorey ","Albillo, verdejo. 5 meses de crianza en cemento y 5 más en barricas. Sedoso, amplio y persistente.","Pradorey ",750ml,Verdejo,20.5,blanco,VT CATILLA Y LEÓN,true
1122,8437008963174,Menade la misión,"Verdejo de agricultura ecológica y viñas prefiloxérica, 10 meses de crianza en barricas de roble. Envolvente , sabroso y estructurado. ",Menade la misión,750ml,Verdejo,35.5,blanco,VT CATILLA Y LEÓN,true
1123,8437012660007,Nivarius,"100% Tempranillo blanco, 4 meses de crianza con sus lías. Seco, fresco y equilibrado.",Nivarius,750ml,Tempranillo,15.75,tinto,DOC RIOJA,true
1124,8437008487021,A coro lías,"100% Godello, 5 meses de crianza con sus lías. Complejo, redondo y persistente.",A coro lías,750ml,Godello,40.5,blanco,DO VALDEORRAS,true
1125,8410743044131,Collection,Chardonnay y Sauvignon blanc. Breve en crianza en barricas nuevas de acacia,Collection,750ml,Chardonnay,20.5,blanco,DO EMPORDÀ,true
1126,1231231233211,Sisquera,"Garnacha blanca, macabeo.
Joven sin crianza.
Afrutado, fresco y suave.",Sisquera,750ml,Garnacha,13,blanco,DO TERRA ALTA,true
1127,2222222222222,Solpost,"100% Garnacha blanca, 5 meses de crianza en barricas con sus lías. Elegante, voluminoso y largo.",Solpost,750ml,Garnacha,21,blanco,DO MONTSANT,true
1128,2222222222221,Entre 2,"100% Parellada. 6 meses de crianza con sus lías. Fino, equilibrado y fresco.",Enre 2,750ml,Parellada,18.5,blanco,DO CONCA DE BARBERA,true
1129,8437015051000,"Proelio ","Garnacha, tempranillo y maturana. 12 meses en barrica de roble.  Elegante, fresco y complejo","Proelio ",750ml,Garnacha,18.5,tinto,DOC RIOJA,true
1130,8414606328727,Bocca 9 meses,"100% Tempranillo, 9 meses de crianza en barrica. Goloso, fresco y mineral",Bocca 9 meses,750ml,Tempranillo,18,tinto,DO RIBERA DEL DUERO,true
1131,8425851202403,Alquez,"100% Garnacha de viñas viejas, 10 meses de crianza en barricas. Sabroso, carnoso y mineral.",Alquez,750ml,Garnacha,21,tinto,DO CALATAYUD,true
1132,8437011931283,Grillo,"Syrah, Cabernet, Garnacha y Merlot. 13 meses de crianza en barricas. Voluminoso, redondo y largo.
",Grillo,750ml,Syrah,41.5,tinto,DO SOMONTANO,true
1133,8412423121408,Zarihs,"100% Syrah, 12 meses de crianza en barricas. Intenso, redondo y especiado. ",Zarihs,750ml,Syrah,26.8,tinto,DO CAMPO DE BORJA,true
1134,8437010036064,Museum,"100% Tempranillo, crianza de 22 meses en barrica de roble y 15 más en botella. Intenso, elegante y señorial.",Museum,750ml,Tempranillo,22.75,tinto,DO CIGALES,true
1135,8437009095263,Pajaro rojo,"100% Mencía. Crianza de 6 meses en barrica de roble. Delicado, fresco y juvenil",Pajaro rojo,750ml,Mencía,19,tinto,DO BIERZO,true
1136,8410388009168,Sericis,"Monastrell, 14 meses de crianza en barricas de roble francés. Redondo, sedoso y espaciado. Vegano",Sericis,750ml,Monastrell,19.5,tinto,DO ALICANTE,true
1137,5555555555555,Anima del priorat,"Cariñena, Garnacha , Syrah y Cabernet. 6 meses de crianza en depósitos de acero y cemento. Afrutado, mineral y profundo",Anima del priorat,750ml,Cariñena,26.5,tinto,DOQ PRIORAT,true
1138,6666666666666,Siana,"Garnacha y Cariñena. 9 meses de crianza. Redondo, agradable y largo.",Siana,750ml,Garnacha,20.5,tinto,DO MONTSANT,true
1139,8423101830024,Clot d'Illa,"80% Syrah y Garnacha. 8 meses de crianza. Mineral, elegante y con cuerpo",Clot d'Illa,750ml,Syrah,24,tinto,DO EMPORDÀ,true
1140,8437002135249,Indispensable,"Cabernet, Merlot, Cariñena y Syrah. Joven sin crianza. Freso , agradable y equilibrado.",Indispensable,750ml,Cabernet,15.5,tinto,DO EMPORDÀ,true
1141,888888888888,"Sisquera ","Garnacha negra y Syrah.
Joven sin crianza. Afrutado, fresco y largo.","Sisquera ",750ml,Garnacha,13,tinto,DO TERRA ALTA,true
1142,8028938011082,Montepulciano d'abruzzo,"100% Montepulciano . 
Crianza en depósitos de acero inoxidable. Suave, pleno y equilibrado.",Montepulciano d'abruzzo,750ml,Montepulciano,22.5,tinto,ITALIA,true
1143,8024650040140,Chianti classico -,"95% Sangiovese y Canaiolo.
Crianza de 12 meses en barricas de roble.
Seco, intenso y persistente.
",Chianti classico -,750ml,Sangiovese,26,tinto,ITALIA,true
1144,1111112222225,"Brunello Montalcino ","100% Sangiovese de agricultura ecológica. Crianza de 3 años en barrica y un año en botella.
Elegante, vigoroso y largo. 93 Parker","Brunello Montalcino ",750ml,Sangiovese,68,tinto,ITALIA,true
1145,9876543210123,Passiari Feudo Arancio,"Nero d'avola. Crianza en barrica durante 6 meses y otros 6 meses en acero. Suave, jugoso y elegante.",Passiari Feudo Arancio,750ml,Nero d'Avola,18.5,tinto,ITALIA,true
1146,7899877899878,Lambrusco Rosso,"Lambrusco Grasparossa, Espumoso dulce, afrutado, limpio y buena acidez.",Lambrusco Rosso,750ml,Lambrusco Grasparossa,14,tinto,ITALIA,true
1147,3214569878526,Lambrusco Rosato,"Lambrusco Salamino.
Espumoso dulce, afrutado , limpio y buena acidez",Lambrusco Rosato,750ml,Lambrusco Salamino,14,rosado,ITALIA,true
1148,9999999999999,Bianco di Ciccio,"80% Trebbiano d'Albruzzo y Chardonnay.
Joven sin crianza.
Fino, fresco y armónico",Bianco di Ciccio,750ml,Trebbiano d'Albruzzo,20.5,blanco,ITALIA,true
1149,8436557310866,Emilio Moro,"100% Tempranillo.
9 meses de crianza en barrica.
Goloso, fresco y mineral.",Emilio Moro,750ml,Tempranillo,33.5,tinto,DO RIBERA DEL DUERO,true
1151,4566544566545,Blanc de Vanessa,"100% Xarel·lo.
Viñedos de entre 5 y 80 años.
Suelos de arenisca y piedras calizas.
Aspecto visual: Limpio, amarillo pálido.
Aspecto olfativo: Aromas intensos, a fruta de hueso como melocotón, pera. Amables notas a tostados como bollería y pan tostado. Notas cítricas como limón y piel de limón.
Aspecto gustativo: Muy amable, untuoso, elegante. Se remarcan los tostados y frutas.
Muy buena acidez.

Maridaje:
Peces a la brasa, verduras incluso carne a la brasa. Con pasta acompaña a prácticamente todo tipo de elaboraciones",Blanc de Vanessa,750ml,Xarel.lo,31,blanco,Lloret de mar,true
1152,3333333333333,Triangle Místic,"Aspecto visual:
Color rojo rubí con tonos teja en la herradura.
De capa baja.

Nariz:
Fruta roja licorosa, extremadamente balsámico y muy mineral.
Notas en sotobosque mediterráneo con aromas a plantas aromáticas, setas.
Aromas a tabaco y cacao negro.
Boca:
Largo, profundo con una mineralidad extraordinaria. Taninos redondos con notas herbáceas frescas.
Maridaje:
Todo tipo de carnes y caza. Ahumados, confitados y todo tipo de asados.",Triangle Místic,750ml,Garnacha,48,tinto,Lloret de mar,true
1154,9999999999997,King Kong," Aspecto visual:
Vino de intensidad baja, ribete violáceo
Aspecto olfativo:
Aromas primarios a frutos rojos intensos, grosella, frambuesa, fresas de bosque y
cereza rojo. Parte vegetal que aporta mucha frescura. Fruta negra como cereza y
ciruela.
Aspecto gustativo:
Se remarca la verticalidad y tensión que le aporta el raspón. Los frutos rojos y negros
se mezclan para aportar notas balsámicas en bajo-bosque mediterráneo.

Maridaje: Todo tipo de carnes, pescados y arroces de carne, platos donde resalte el umami",King Kong,750ml,Trepat,48,tinto,Lloret de mar,true
1155,4444444444444,A 4 Grapes,"Garnacha Negra (70%) Garnacha Blanca (15 %) Macabeo (10%) moscatel de grano menudo (5%).
Aspecto visual:
Limpio, de color pálido con reflejos rubí.
Nariz:
Aromas primarios a frutos rojos como fresas, cereza roja, y piruleta. Vino en evolución
Boca:
Se remarcan los frutos rojos, notas tropicales como el melocotón y plátano. Ligero volumen en boca dada su parte de crianza. Notas balsámicas.
Maridaje:
Sushi y todo tipo de pescado, carnes blancas, ensaladas, pasta. En postre marida con pasteles con frutas y cremas.
",A 4 Grapes,750ml,Garnacha,18,rosado,Lloret de mar,true
1156,1,El Carnaval de les Ànimes Perdudes Magnum,"100% Garnacha tinta
Aspecto visual:
Ligero color rosado intenso, color salmón o piel de cebolla.
Aspecto olfativo:
Extremadamente aromático, frutas tropicales como el melocotón, lichis, papaya,
fresa y pétalos de rosas.
Aspecto gustativo:
Leve sensación alcohólica, se marcan las frutas tropicales, toques salinos en el
retrogusto.
Maridaje:
Ensaladas de verano, platos de pasta, pescados y paellas",El Carnaval de les Ànimes Perdudes Magnum,1500ml,Garnacha,39,rosado,Lloret de mar,true
1162,,Pétalos,"Pétalos es idóneo para acercarse a conocer su original estilo de vinos, y se elabora con la uva tinta mencía en un 90% y se complementa variedades blancas, de viñas en empinadas laderas muy pizarrosas, a elevada altitud, y que realiza una crianza de unos 12 meses entre tinas y barricas de roble.

De color amoratado profundo, rojo cardenalicio. Delicioso aroma frutal, de moras, arándanos y ciruelas negras, con un fondo de fresitas de bosque, y un toque ahumado de cedro y regaliz. Boca fresca y vivaz, con un cuerpo medio, vibrante acidez que equilibra su grado y un final de gratas notas herbáceas. Muy fluido y placentero, con persistente y marcada mineralidad.",Pétalos,750ml,Mencía,24,tinto,DO BIERZO,false
1163,,Pétalos,"Pétalos es idóneo para acercarse a conocer su original estilo de vinos, y se elabora con la uva tinta mencía en un 90% y se complementa variedades blancas, de viñas en empinadas laderas muy pizarrosas, a elevada altitud, y que realiza una crianza de unos 12 meses entre tinas y barricas de roble.

De color amoratado profundo, rojo cardenalicio. Delicioso aroma frutal, de moras, arándanos y ciruelas negras, con un fondo de fresitas de bosque, y un toque ahumado de cedro y regaliz. Boca fresca y vivaz, con un cuerpo medio, vibrante acidez que equilibra su grado y un final de gratas notas herbáceas. Muy fluido y placentero, con persistente y marcada mineralidad.",Pétalos,750ml,Mencía,24,rosado,DO GETARIAKO TXAKOLINA,false
1166,,Regina,"Garnacha, crianza de 7 meses",Regina,750ml,Garnacha,29.2,rosado,DO MONTSANT,true
1167,,Aurora d'Espiells,Pinot noir i Xarel.lo de agricultura ecológica,Aurora d'Espiells,750ml,Pinot noir,18.5,rosado,DO PENEDÈS,true
1168,,Eguíluz,"100% Tempranillo, crianza durante 12 a 14 meses en botas de roble",Eguíluz,750ml,Tempranillo,17.5,tinto,DOC RIOJA,true
1169,,Sommos Colección,"100% Merlot, Crianza durante 12 meses en botas de roble francés",Sommos Colección,750ml,Merlot,27.9,tinto,DO SOMONTANO,true
1170,,Pagos de Anguix Costalara,"Tempranillo, crianza durante 12 meses en botas de roble",Pagos de Anguix Costalara,750ml,Tempranillo,32.9,tinto,DO RIBERA DEL DUERO,true
1171,,Mibal roble,"Tempranillo, crianza durante 10 meses en botas de roble",Mibal roble,750ml,Tempranillo,18.5,tinto,DO RIBERA DEL DUERO,true
1172,,Gallinita ciega,"Tempranillo, crianza durante 9 meses en botas de roble francés",Gallinita ciega,750ml,Tempranillo,18.5,tinto,DO RIBERA DEL DUERO,true
1173,,Turons de Vallcorba,"Cabernet Sauvignon, crianza durante 20 meses en barricas de roble",Turons de Vallcorba,750ml,Cabernet Sauvignon,28.9,tinto,DO COSTERS DEL SEGRE,true
1174,,Abadal 3.9,"Cabernet Sauvignon y Syrah, crianza durante 12 meses en barricas de roble",Abadal 3.9,750ml,Cabernet Sauvignon,39.9,tinto,DO PLA DE BAGES,true
1175,,Clos del Bou,"65% Garnacha, Cariñera y Cabernet Sauvignon. Crianza durante 8 meses en barricas de roble",Clos del Bou,750ml,Garnacha,19.9,tinto,DOQ PRIORAT,true
1186,,Tocat de l'Ala,"Garnacha, Cariñerna y Sirah.
Crianza durante 4 mese en botas de roble.",Tocat de l'Ala,750ml,Garnacha,22.8,tinto,DO EMPORDÀ,true
1187,,Pur,"Syrah, Garnacha, Cabernet Sauvignon.
Crianza durante 3 meses en botas de roble francés.",Pur,750ml,Syrah,22.75,tinto,DO EMPORDÀ,true
1188,,Puntiapart,"Cabernet Sauvignon , Samsó.
Crianza durante 13 meses en barricas de roble",Puntiapart,750ml,Cabernet Sauvignon,24.9,tinto,DO EMPORDÀ,true
1189,,Clos Adrien de Terra Remota,"90% Syrah y 10% Garnacha de agricultura ecológica.
Crianza durante 24 meses en botas de roble.",Clos Adrien de Terra Remota,750ml,Syrah,65,tinto,DO EMPORDÀ,true
1190,,Lafous El Sender,"Garnacha negra, Syrah y Morenillo.
Crianza durante 3 meses en botas de roble francés",Lafous El Sender,750ml,Garnacha,23,tinto,DO TERRA ALTA,true
1191,,Onna,"Tempranillo, Syrah de agricultura ecológica.
Crianza de 3 meses en botas.",Onna,750ml,Tempranillo,19.5,tinto,DO PENEDÈS,true
1192,,Casa Vella d'Espiellls,"Cabernet Sauvignon. 
Crianza durante 12 meses en botas de roble y 2 años en la botella.",Casa Vella d'Espiellls,750ml,Cabernet Sauvignon,22,tinto,DO PENEDÈS,true
1193,,Volador,"Garnacha, Cariñena.
Crianza de 6 meses en depósitos de cemento.",Volador,750ml,Garnacha,19.8,tinto,DO MONTSANT,true
1194,,Dido La Universal,"100% Garancha,
Crianza durante 4 meses en botas de roble.",Dido La Universal,750ml,Garnacha,27,tinto,DO MONTSANT,true
1195,,Abadia de Poble,"Trepat, Garrut , Garnacha.
Crianza durante 12 meses en barricas de roble",Abadia de Poble,750ml,Trepat,33.2,tinto,DO CONCA DE BARBERA,true
1219,,Tocat de l'Ala,"Garnacha blanca, Macabeo.
Crianza de 3 a 4 meses con sus lías. ",Tocat de l'Ala,750ml,Garnacha,22,blanco,DO EMPORDÀ,true
1220,,Microvins,"Cariñena blanca de viñas centenarias.
Crianza de 3 meses en barricas de roble y castaño",Microvins,750ml,Cariñena,34.9,blanco,DO EMPORDÀ,true
1221,,Mas Oller mar,"80% Picapoll, 20% Malvasia .
Reposado con sus lias.",Mas Oller mar,750ml,Picapoll,22.75,blanco,DO EMPORDÀ,true
1222,,Xot dels Aspers,"Garnacha blanca, Sauvignon blanco , picapoll.
Fermentado y envejecido en botas de roble durante 4 meses",Xot dels Aspers,750ml,Garnacha,26.5,blanco,DO EMPORDÀ,true
1223,,Flor de Xarel.lo d'Espiells,100% Xarel.lo de agricultura ecológica. Joven sin crianza.,Flor de Xarel.lo d'Espiells,750ml,Xarel.lo,19.5,blanco,DO PENEDÈS,true
1224,,Miranda d'Espiells,100% Chardonnay de agricultura ecológica. Joven sin crianza.,Miranda d'Espiells,750ml,Chardonnay,20.5,blanco,DO PENEDÈS,true
1225,,De Llevant,Malvasía de agricultura ecológica . Crianza de 6 meses en ánforas,De Llevant,750ml,Malvasía,21.5,blanco,DO PENEDÈS,true
